"Month","Actual","Predicted","Lower_95","Upper_95"
2018-08-01,407890.228915663,418056.021174345,332119.051685085,503992.990663606
2018-09-01,431110.355263158,418056.021174345,331132.665527418,504979.376821273
2018-10-01,437801.986666667,418056.021174345,330157.347755195,505954.694593495
2018-11-01,418685,418056.021174345,329192.733924939,506919.308423752
2018-12-01,461145.098039216,418056.021174345,328238.479164476,507873.563184215
2019-01-01,386341.463414634,418056.021174345,327294.25673238,508817.785616311
2019-02-01,411525.423728814,418056.021174345,326359.756710939,509752.285637752
2019-03-01,417760.169491525,418056.021174345,325434.684817828,510677.357530863
2019-04-01,403325.909090909,418056.021174345,324518.761323571,511593.28102512
2019-05-01,429084.615384615,418056.021174345,323611.720063503,512500.322285188
2019-06-01,456118.965517241,418056.021174345,322713.307534343,513398.734814348
2019-07-01,397410.676470588,418056.021174345,321823.282066681,514288.760282009
